time(s);clutchPressed;brakePressed;steeringWheelButtons;gearAct;engineTemp;oilTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressEngine;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong;accelCross;
0.55;0;0;0;0;0;0;0;0;0;0;0;262;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;
0.80;1;0;0;0;1;CF;0;0;0;0;0;4CB;0;3B4;3.2;36.0;86.0;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3250;
1.05;1;0;0;0;1;CF;0;0;0;0;0;4E1;0;3B4;3.2;36.0;38.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
1.30;1;0;0;0;1;CF;0;0;0;0;0;4AF;0;3B4;3.2;36.0;44.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3750;
1.55;1;0;0;0;1;CF;0;0;0;0;0;484;0;3B4;3.2;36.0;46.5;0.0;0.0;0.0;0.0000;-0.2049;0.0000;0.3500;
1.80;1;0;0;0;1;CF;0;0;0;0;0;46F;0;3B4;3.2;36.0;45.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
2.05;1;0;0;0;1;CF;0;0;0;0;0;446;0;3B4;3.2;36.0;44.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.30;1;0;0;0;1;CF;0;0;0;0;0;444;0;3B4;3.2;36.0;40.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.55;1;0;0;0;1;CF;0;0;0;0;0;41F;0;3B4;3.2;36.0;42.0;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
2.80;1;0;0;0;1;CF;0;0;0;0;0;40A;0;3B4;3.2;36.0;42.5;11.5;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
3.05;1;0;0;0;1;CF;0;0;0;0;0;3EC;0;3B4;3.2;36.0;41.5;11.7;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
3.30;1;0;0;0;1;CF;0;0;0;0;0;3DD;0;3B4;3.2;35.9;47.0;11.7;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
3.55;1;0;0;0;1;CF;0;0;0;0;0;3D5;0;3B4;3.2;35.9;47.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
3.80;1;0;0;0;1;CF;0;0;0;0;0;3E3;0;3B4;3.2;35.9;47.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
4.05;1;0;0;0;1;CF;0;0;0;0;0;3DB;0;3B4;3.2;35.9;42.5;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4000;
4.30;1;0;0;0;1;CF;0;0;0;0;0;3E9;0;3B4;3.2;35.9;39.0;12.0;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
4.55;1;0;0;0;1;CF;0;0;0;0;0;3E6;162;3B4;3.2;35.9;36.0;14.4;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
4.80;1;0;0;0;1;CF;0;0;0;0;0;3EB;162;3B4;3.2;35.9;31.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4250;
5.05;1;0;0;0;1;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;33.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4750;
5.30;1;0;0;0;1;CF;0;0;0;0;0;3DA;162;3B4;3.2;35.9;32.0;14.6;0.0;0.0;0.0000;-0.2049;0.0000;0.4500;
5.57;1;0;0;0;1;CF;0;0;0;0;0;3E3;162;3B4;3.2;35.9;29.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
5.82;1;0;0;0;1;CF;0;0;0;0;0;3DE;162;3B4;3.2;35.9;28.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
6.07;1;0;0;0;1;CF;0;0;0;0;0;3DE;162;3B4;3.2;35.9;28.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4000;
6.32;1;0;0;0;1;CF;0;0;0;0;0;3DC;162;3B4;3.2;35.9;28.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
6.57;1;0;0;0;1;CF;0;0;0;0;0;3E0;162;3B4;3.2;35.9;26.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
6.82;1;0;0;0;1;CF;0;0;0;0;0;3DE;162;3B4;3.2;35.9;25.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.07;1;0;0;0;1;CF;0;0;0;0;0;3D7;162;3B4;3.2;35.9;27.0;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.32;1;0;0;0;1;CF;0;0;0;0;0;3DA;162;3B4;3.2;35.9;27.5;14.6;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
7.57;1;0;0;0;1;CF;0;0;0;0;0;3DA;162;3B4;3.2;35.9;27.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
7.82;1;0;0;0;1;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
8.07;1;0;0;0;1;CF;0;0;0;0;0;3DC;162;3B4;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
8.32;1;0;0;0;1;CF;0;0;0;0;0;3DC;162;3B4;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
8.57;1;0;0;0;1;CF;0;0;0;0;0;3DB;162;3B4;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
8.82;1;0;0;0;1;CF;0;0;0;0;0;3DA;162;3B4;3.2;35.9;25.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
9.07;1;0;0;0;1;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;23.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
9.32;1;0;0;0;1;CF;0;0;0;0;0;3D3;162;3B4;3.2;35.9;25.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
9.57;1;0;0;0;1;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;24.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
9.82;1;0;0;0;1;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;22.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
10.07;1;0;0;0;1;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;23.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4000;
10.32;1;0;0;0;1;CF;0;0;0;0;0;3DB;162;3B4;3.2;35.9;23.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
10.59;1;0;0;0;1;CF;0;0;0;0;0;3DF;162;3B4;3.2;35.9;21.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
10.84;1;0;0;0;2;CF;0;0;0;0;0;3D8;162;3B4;3.2;35.9;21.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
11.09;1;0;0;0;2;CF;0;0;0;0;0;3D6;162;3B4;3.2;35.9;22.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
11.34;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;21.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
11.59;1;0;0;0;2;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;20.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
11.84;1;0;0;0;2;CF;0;0;0;0;0;3DB;162;3B4;3.2;35.9;18.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
12.09;1;0;0;0;2;CF;0;0;0;0;0;3D4;162;3B4;3.2;35.9;22.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
12.34;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;20.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
12.59;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;20.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
12.84;1;0;0;0;2;CF;0;0;0;0;0;3D7;162;3B4;3.2;35.9;19.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
13.09;1;0;0;0;2;CF;0;0;0;0;0;3D5;162;3B4;3.2;35.9;21.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
13.34;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;20.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
13.59;1;0;0;0;2;CF;0;0;0;0;0;3DC;162;3B4;3.2;35.9;18.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
13.84;1;0;0;0;2;CF;0;0;0;0;0;3D5;162;3B4;3.2;35.9;20.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
14.09;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;20.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4250;
14.34;1;0;0;0;2;CF;0;0;0;0;0;3D9;162;3B4;3.2;35.9;18.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4750;
14.59;1;0;0;0;2;CF;0;0;0;0;0;3D5;162;3B4;3.2;35.9;18.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
14.84;1;0;0;0;2;CF;0;0;0;0;0;3DD;162;3B4;3.2;35.9;16.5;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
15.09;1;0;0;0;2;CF;0;0;0;0;0;3D3;162;3B4;3.2;35.9;18.0;14.5;5.5;76.8;0.0000;-0.2049;0.0000;0.4500;
