time(s);clutchPressed;brakePressed;steeringWheelButtons;engineTemp(C);wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressIntake(hPa);fuelLevel1;fuelLevel2;engineTorque(Nm);batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong(m_sq(s));accelCross(m_sq(s));enginePow(kW);
2.49;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;0.0;0.0;0.0000;0.0233;0.0000;-0.8500;0.0000;
2.74;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;0.0;0.0;0.0000;0.0233;0.0000;-0.8750;0.0000;
2.99;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;0.0;0.0;0.0000;0.0233;0.0000;-0.8750;0.0000;
3.24;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;0.0;0.0;0.0000;0.0233;0.0000;-0.8750;0.0000;
3.49;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
3.74;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.0000;
3.99;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
4.24;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
4.49;0;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
4.74;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
4.99;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
5.24;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
5.49;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8250;0.0000;
5.74;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
5.99;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8250;0.0000;
6.24;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.0000;
6.49;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.0000;
6.74;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.0000;
6.99;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.0000;
7.24;1;0;0;3F;0;0;0;0;0;0;144;3C2;3.2;19.5;187.0;12.2;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.0000;
7.52;1;0;0;3F;0;0;0;0;0;7E;144;3C2;3.2;19.5;187.5;12.2;5.5;76.3;0.0000;0.0233;0.0000;-1.0750;2.4740;
7.77;1;0;0;3F;0;0;0;0;0;AE;144;3C2;3.2;19.5;196.5;12.2;5.5;76.3;0.0000;0.0233;0.0000;-1.3000;3.5805;
8.02;1;0;0;3F;0;0;0;0;0;19A;144;3C2;3.2;19.5;225.5;11.3;5.5;76.3;0.0000;0.0233;0.0000;-0.9250;9.6819;
8.27;1;0;0;3F;0;0;0;0;0;3B4;144;3C2;3.2;19.5;130.5;11.3;5.5;76.3;0.0000;0.0233;0.0000;-1.2500;12.9553;
8.52;1;0;0;3F;0;0;0;0;0;405;144;3C2;3.2;19.5;-3.0;11.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;-0.3233;
8.77;1;0;0;3F;0;0;0;0;0;3C3;144;3C2;3.2;19.5;2.0;11.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8500;0.2017;
9.02;1;0;0;3F;0;0;0;0;0;383;144;3C2;3.2;19.5;2.5;11.3;5.5;76.3;0.0000;0.0233;0.0000;-0.8750;0.2354;
