time(s);clutchPressed;brakePressed;steeringWheelButtons;engineTemp(C);wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressIntake(hPa);fuelLevel1;fuelLevel2;engineTorque(Nm);batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong(m_sq(s));accelCross(m_sq(s));enginePow(kW);
7.36;1;0;0;0;0;0;0;0;0;3E7;26D;3B2;19.5;40.7;32.0;14.6;5.5;76.2;0.0000;-0.2482;0.0000;0.4500;3.3477;
7.61;1;0;0;0;0;0;0;0;0;3E2;26D;3B2;19.5;40.7;31.5;14.6;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;3.2789;
7.86;1;0;0;0;0;0;0;0;0;3EA;26D;3B2;19.5;40.7;28.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.9905;
8.11;1;0;0;0;0;0;0;0;0;3E3;26D;3B2;19.4;40.7;30.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;3.1780;
8.36;1;0;0;0;0;0;0;0;0;3E2;26D;3B2;19.4;40.7;28.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.9666;
8.61;1;0;0;0;0;0;0;0;0;3E2;26D;3B2;19.4;40.7;29.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;3.0707;
8.86;1;0;0;0;0;0;0;0;0;3E8;26D;3B2;19.3;40.7;27.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.8274;
9.11;1;0;0;0;0;0;0;0;0;3E9;26D;3B2;19.3;40.7;27.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.8303;
9.36;1;0;0;0;0;0;0;0;0;3E2;26D;3B2;19.2;40.7;27.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.8625;
9.61;1;0;0;0;0;0;0;0;0;3E3;26D;3B2;19.1;40.7;28.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.3750;2.9175;
9.86;1;0;0;0;0;0;0;0;0;3E8;26D;3B2;19.1;40.7;25.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.6180;
10.11;1;0;0;0;0;0;0;0;0;3E3;26D;3B2;19.0;40.7;27.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.8133;
10.36;1;0;0;0;0;0;0;0;0;3E4;26D;3B2;18.9;40.7;27.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.8161;
10.61;1;0;0;0;0;0;0;0;0;3E1;26D;3B2;18.9;40.7;26.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.7556;
10.86;1;0;0;0;0;0;0;0;0;3E5;26D;3B2;18.8;40.8;26.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4500;2.7145;
11.11;1;0;0;0;0;0;0;0;0;3E2;26D;3B2;18.8;40.8;25.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.6543;
11.36;1;0;0;0;0;0;0;0;0;3E4;26D;3B2;18.8;40.8;24.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.5554;
11.61;1;0;0;0;0;0;0;0;0;3E0;26D;3B2;18.8;40.8;26.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4500;2.7009;
11.86;1;0;0;0;0;0;0;0;0;3E6;26D;3B2;18.7;40.9;23.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.4560;
12.11;1;0;0;0;0;0;0;0;0;3E1;26D;3B2;18.7;40.9;25.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.6517;
12.39;1;0;0;0;0;0;0;0;0;3E6;26D;3B2;18.6;41.1;23.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4500;2.4560;
12.64;1;0;0;0;0;0;0;0;0;3E3;26D;3B2;18.6;41.3;24.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.5007;
12.89;1;0;0;0;0;0;0;0;0;3E5;26D;3B2;18.6;41.3;23.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.4013;
13.14;1;0;0;0;0;0;0;0;0;3E9;26D;3B2;18.6;41.5;21.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.2537;
13.39;1;0;0;0;0;0;0;0;0;3E3;26D;3B2;18.6;41.6;22.0;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4250;2.2923;
13.64;1;0;0;0;0;0;0;0;0;3E1;26D;3B2;18.6;41.6;22.5;14.5;5.5;76.2;0.0000;-0.2482;0.0000;0.4000;2.3397;
