time(s);clutchPressed;brakePressed;steeringWheelButtons;gearAct;engineTemp;oilTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressEngine;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong;accelCross;
0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;188.0;0.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
0.80;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.3;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
1.05;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.3;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5500;
1.30;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;0.0;0.0;0.0000;0.0172;0.0000;101.5250;
1.55;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
1.80;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.6000;
2.05;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
2.30;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
2.55;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
2.80;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
3.05;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.1;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
3.30;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
3.55;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
3.80;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5000;
4.05;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
4.30;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
4.55;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
4.80;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
5.05;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
5.30;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.6000;
5.58;0;0;0;0;58;207;0;0;0;0;0;0;0;966;3.2;22.2;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5500;
5.83;0;0;0;0;58;207;0;0;0;0;0;0;347;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5250;
6.08;0;0;0;0;58;207;0;0;0;0;0;0;347;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5250;
6.33;0;0;0;0;58;207;0;0;0;0;0;0;347;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
6.58;0;0;0;0;58;207;0;0;0;0;0;0;347;966;3.2;22.3;188.0;12.0;5.5;76.6;0.0000;0.0172;0.0000;101.5750;
